Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.7944444444444444,0.8065610859728507,0.8065610859728507,0.7948442468586951,0.5261936187744141
ExtraTreesClassifier,0.7944444444444444,0.8065610859728507,0.8065610859728507,0.7948442468586951,0.7460882663726807
DecisionTreeClassifier,0.7722222222222223,0.776395173453997,0.776395173453997,0.7732328089934121,0.16948699951171875
LogisticRegression,0.7777777777777778,0.7662141779788838,0.766214177978884,0.7753595356975205,0.1048424243927002
LinearSVC,0.7666666666666667,0.7654600301659125,0.7654600301659125,0.7672500000000001,0.853933572769165
CalibratedClassifierCV,0.7777777777777778,0.7631975867269984,0.7631975867269986,0.7739587371322737,4.603124380111694
ExtraTreeClassifier,0.7555555555555555,0.7601809954751131,0.7601809954751132,0.7566468253968253,0.07999968528747559
BaggingClassifier,0.7444444444444445,0.7579185520361991,0.7579185520361991,0.7444444444444445,0.8321478366851807
BernoulliNB,0.7722222222222223,0.7537707390648567,0.7537707390648568,0.76613095043261,0.14572405815124512
NearestCentroid,0.7611111111111111,0.7530165912518854,0.7530165912518854,0.7600135196510239,0.07205772399902344
PassiveAggressiveClassifier,0.7277777777777777,0.7386877828054299,0.7386877828054298,0.7283072458398938,0.11089777946472168
AdaBoostClassifier,0.7055555555555556,0.7311463046757165,0.7311463046757165,0.6991643569700934,0.7319848537445068
XGBClassifier,0.7222222222222222,0.7247360482654601,0.7247360482654601,0.7234298016809505,2.779343366622925
NuSVC,0.7388888888888889,0.7228506787330317,0.7228506787330318,0.7339421613394216,0.248030424118042
Perceptron,0.7222222222222222,0.7096530920060332,0.7096530920060332,0.7191994196219007,0.08083128929138184
RidgeClassifierCV,0.7111111111111111,0.7013574660633484,0.7013574660633484,0.7094603174603175,0.2820889949798584
RidgeClassifier,0.6944444444444444,0.6911764705882353,0.6911764705882354,0.6950467786851904,0.17394304275512695
SVC,0.7111111111111111,0.6832579185520362,0.6832579185520362,0.6952380952380952,0.4896252155303955
LinearDiscriminantAnalysis,0.6666666666666666,0.6636500754147814,0.6636500754147813,0.6675,1.0844342708587646
SGDClassifier,0.6833333333333333,0.6496983408748115,0.6496983408748114,0.6584120785243558,0.09035778045654297
GaussianNB,0.6277777777777778,0.6444193061840121,0.644419306184012,0.625281032013436,0.09995102882385254
KNeighborsClassifier,0.65,0.6233031674208145,0.6233031674208145,0.6338266384778013,0.22470855712890625
LGBMClassifier,0.6277777777777778,0.5991704374057315,0.5991704374057315,0.6084440088765728,0.32566356658935547
LabelSpreading,0.48333333333333334,0.5441176470588235,0.5441176470588235,0.3633778356669922,0.1958158016204834
LabelPropagation,0.48333333333333334,0.5441176470588235,0.5441176470588235,0.3633778356669922,0.16477656364440918
QuadraticDiscriminantAnalysis,0.5611111111111111,0.5388386123680242,0.5388386123680242,0.5493742703457607,0.7545075416564941
DummyClassifier,0.5666666666666667,0.5,0.5,0.4099290780141843,0.08923768997192383
